Item,Price,Qty,Unit,Protein,Fat,Carb,Fiber,Energy,VitaminA,VitaminB1,VitaminB2,VitaminB3,VitaminB5,VitaminB6,VitaminB9,VitaminB12,VitaminC,VitaminE,VitaminK,Choline,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
brazil nuts,3.6,100,g,14.3,66.4,12.3,7.5,689,0,0.6,0,0.3,0.2,0.1,22,0,0.7,5.7,0,28.8,160,1.7,2.4,376,1.2,725,659,1917,4.1
broccoli,0.5,100,g,2.8,0.3,4.8,3,26,1034,0.1,0.1,0.3,0.3,0.1,67,0,56.4,1.2,81.1,14.9,56,0,0.8,18,0.3,50,212,2.8,0.5
eggs,1,100,g,12.6,9.9,0.8,0,143,487,0.1,0.5,0.1,1.4,0.1,47,1.3,0,1,0.3,251,53,0.1,1.8,12,0,191,134,31.7,1.1
lentils,0.46,100,g,25.8,1.1,60.1,30.5,353,39,0.9,0.2,2.6,2.1,0.5,479,0,4.4,0.5,5,96.4,56,0.5,7.5,122,1.3,451,955,8.3,4.8
kale,0.4,100,g,2.8,0.5,5.2,2,30,14705,0,0.1,0.7,0.1,0.1,14,0,7.1,0.3,247,0.1,38.6,0,0.3,5,0.1,7.8,89.9,0.3,0.1
milk (full cream),0.13,100,ml,3.2,3.3,5.3,0,60,102,0,0.2,0.1,0.4,0,5,0.4,0,0.1,0.2,14.2,113,0,0,10,0,91,143,3.7,0.4
muesli,0.28,100,g,11.2,5.2,65.1,8.7,350,0,0.3,0.2,1.1,1.1,0.1,32,0,0,0.4,2,36.1,52,0.4,3.9,112,3.1,368,323,21.9,3.1
nutritional yeast,4,100,g,47,4.8,19.8,18.7,323,0,2.9,2.8,16.7,0.3,2.1,71.4,3.3,0,0,0,0,0,0.04,0.2,7.1,0.04,0,0,0,0.8
oil,1.2,100,ml,0,91,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peanut butter,0.48,100,g,25.1,50.4,20,6,619,0,0.1,0.1,13.4,1.1,0.5,74,0,0,9,0.6,63,43,0.5,1.9,154,1.5,358,649,5.6,2.9
peas,0.2,100,g,5.2,0.4,13.7,4.5,77,2058,0.3,0.1,1.7,0.5,0.1,53,0,18,0,27.9,27,22,0.1,1.5,26,0.3,82,153,1.9,0.8
pumpkin kernels,1.6,100,g,24.5,45.8,17.8,3.9,567,380,0.2,0.3,1.7,0.3,0.2,58,0,1.9,0,51.4,63,43,1.4,15,535,3,1174,807,5.6,7.5
quinoa,1.6,100,g,14.1,6.1,64.2,7,368,14,0.4,0.3,1.5,0.8,0.5,184,0,0,2.4,0,70.2,47,0.6,4.6,197,2,457,563,8.5,3.1
spinach,0.38,100,g,3.6,0.6,4.2,2.9,29,11725,0.1,2,0.5,0.1,0.2,145,0,5.5,2.9,372,22.1,129,0.1,1.9,75,0.7,49,346,6,0.6
split peas,0.33,100,g,24.6,1.2,60.4,25.5,341,149,0.7,0.2,2.9,1.8,0.2,274,0,1.8,0.1,14.5,95.5,55,0.9,4.4,115,1.4,366,981,1.6,3
sunflower kernels,0.7,100,g,20.8,51.5,20,8.6,612,50,1.5,0.4,8.3,1.1,1.3,227,0,1.4,33.2,0,55.1,78,1.8,5.2,325,1.9,660,645,53,5
sweet potato,0.5,100,g,1.6,0.1,20.1,3,86,14185,0.1,0.1,0.6,0.8,0.2,11,0,2.4,0.3,1.8,12.3,30,0.2,0.6,25,0.3,47,337,0.6,0.3
whey protein,2,100,g,78.5,5.7,6,0,406,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0
